Role,Unnamed: 0,Computer Architecture,Programming Skills,Project Management,Communication skills,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence
AI ML Specialist,6908.766199649737,2.391041410385079,2.3939238421015117,2.3919018374071372,2.392266767173465,0.7750660271926024,0.38911981425711584,0.39527961441399645,0.1357685292339583,0.5530951185565967,0.08955450389440578,0.40031213615493466,0.15091991518855313,0.3333889216063717,0.22312044225135666
API Specialist,4287.686084142395,2.247248370008678,5.3027312955460015,2.24467246727576,2.248660230315558,0.6752300128646306,0.36901030482062724,0.30820086946509456,0.1860612746542778,0.572244086539571,0.13237294379723627,0.36922509740930737,0.19372730551985182,0.3256944123863579,0.2781260393060909
Application Support Engineer,2207.7607973421927,2.2893272338895847,2.300697029423004,2.2898660289462875,2.2965900590361565,0.7016906274740956,0.4473716525069872,0.42184801650693204,0.18667497769793334,0.6084776019872921,0.1526060113258811,0.4107204579930846,0.18101040887717412,0.3386069702103452,0.26133500378290997
Business Analyst,7062.289256198347,2.2871702080154734,2.281692106298814,2.2853640005098543,2.280765697128251,0.6912775304625971,0.47727388983456565,0.48953023306189963,0.20225206270562646,0.6217135263294412,0.153490422548303,0.40734312358103963,0.19944452799282283,0.3660604897782423,0.22250502579780734
Customer Service Executive,7518.602006688963,2.3065912635420975,2.3057913072302534,2.304741053374351,5.458285712275437,0.6487800834209239,0.5455430843355015,0.5887195333719675,0.26899878273231115,0.676063511690431,0.17783835346968338,0.419010133110017,0.2105378880959953,0.3285504870595369,0.28367793536580077
Cyber Security Specialist,2583.4907251264754,2.322656782459929,2.3231425334479767,2.322546966268941,2.3254479997178596,0.7658466211337639,0.4765753831270634,0.4199009888417143,0.1669803877363997,0.6184229520088377,0.09539667464845575,0.35794382997289803,0.18402558089326984,0.2869054835215727,0.1944950436483855
Database Administrator,1430.340909090909,2.2582154446170555,2.2582169646611554,2.254473400634301,2.2572816742022193,0.6861670793161155,0.42303314789542873,0.3439528430505864,0.1267483059219147,0.6432706817323361,0.12966891750158166,0.3510470303210934,0.186596772260234,0.3124844536740866,0.25469778308452756
Graphics Designer,8984.163606010017,2.301734647439287,2.296617062406335,2.3024402047219623,2.3005591575491873,0.7429443303211064,0.3953648189998072,0.3489926150102838,0.21220189593103386,0.563051889087664,0.1845566473331656,0.45066402645943177,0.271374513319704,0.36881836419844594,0.3494503742077252
Hardware Engineer,1697.0633333333333,5.447138448600013,2.295638807500491,2.299142292497269,2.2951170322275103,0.6711851458136425,0.4457481678827318,0.35711717545560767,0.1686838073843069,0.5904865617902136,0.19009194151587983,0.37237867617408216,0.21472858083594484,0.31154730116799956,0.27390478566928944
Helpdesk Engineer,8491.359663865545,2.304434680346703,2.3181233220954693,2.3118016007891464,2.3101712016627376,0.697005169984422,0.4780189168258952,0.38992965283704817,0.16488589594650765,0.6593543382264504,0.1317543859870646,0.3586440529186195,0.17106931198494946,0.298687939019559,0.26083731640217683
Information Security Specialist,5141.363636363636,2.2828309402224574,2.2820237270788755,2.2857754088217077,2.2807343281156482,0.7180947074638955,0.5115684887435863,0.4992882033792768,0.2595650349038423,0.6278674928328253,0.14056891168112692,0.3889922130522388,0.18533875450246706,0.3115584312327227,0.2613305109132985
Networking Engineer,3294.8825448613375,2.266320361992954,2.256835031649732,2.2536109630632617,2.266099374433655,0.6799666178747052,0.4908581815509512,0.4335695138486493,0.22174160256698633,0.6209963489161721,0.19725844846120186,0.4013588466724853,0.21852453020884438,0.35987059545816374,0.2781799197073756
Project Manager,4577.0503355704695,2.307898893178624,2.30896950616688,5.48017231887718,2.31405364473124,0.6817473927053543,0.5071874805776143,0.49553308732301493,0.26599835280592976,0.5998673697701313,0.17961872079223923,0.4275116834700847,0.1950659595850128,0.34744015402209544,0.283828259252109
Software Developer,3672.4510779436155,2.2928294004920122,2.2976513592276384,2.288209099201154,2.2969713171936643,0.7277296874429293,0.34431776621821764,0.2736461865198586,0.11230137365473562,0.5809744748372688,0.11201661415880965,0.3969448528030799,0.19729702675404645,0.32145610840656985,0.259470269546315
Software tester,6534.801680672269,2.3165443047884264,2.311497459841154,2.3188517903106045,2.3154284959290488,0.7010286195668369,0.3956375370192026,0.3518478188250385,0.13789974230176827,0.5827049092686256,0.1584162466934683,0.432529076532462,0.22102811441845252,0.3671763589947715,0.28759974938459243
Technical Writer,5571.507512520868,2.3050161032999363,2.299480782140781,2.3013434462154536,2.306662860393015,0.7667736639363981,0.45878686516426287,0.44848699508563067,0.20606859149387866,0.6080825881112517,0.156031591310082,0.36026649208238687,0.19372728693079744,0.31021414723003204,0.2579799984303974
